jml_lantai,ruangan,luas (m2),harga
1,2,64.6,1525000
5,3,100.3,2430000
1,1,22,450000
5,3,51.27,689000
1,2,53,785000
1,2,43.27,865000
4,2,91.45,465000
3,4,101.33,1215960
1,2,83,940000
0,2,45.5,759000
3,4,44.3,531600
3,4,106.28,1275360
3,1,25.95,479000
3,1,27,495000
2,2,43,516000
5,4,90.59,1600000
5,3,51,689000
5,5,178,2850000
4,6,118.3,1355000
2,1,38,695000
5,5,144,2400000
2,2,44.61,575000
0,2,30,480000
3,1,28,494700
1,1,33.8,569000
0,2,54,1275000
2,2,55,645000
2,3,96.3,1290000
1,4,90,845000
1,2,49.21,829000
2,3,96.5,1250000
2,3,96,1290000
3,3,85,2050000
1,2,70,855000
0,4,93,1949000
2,3,96,1250000
1,1,26.88,282240
1,1,37,535000
2,2,32.7,356430
1,2,51,590000
3,3,83.11,852000
2,2,53.68,645000
3,2,47,940000
2,2,64,659000
5,2,46.5,1100000
7,6,227.28,5875000
5,2,60,1368000
2,3,84,1250000
6,2,41,1190000
4,5,144.64,2400000
1,2,49.8,413340
6,2,51.5,1300000
1,2,58,898000
4,3,55.3,386547
1,2,59.4,510840
1,3,112.55,2307275
4,5,99,1325000
5,1,31,278000
0,2,35,279000
3,3,51.22,799000
1,4,68.34,610000
4,5,146,2400000
5,4,90,1675000
6,2,81,1204516
8,1,15,385000
6,2,32,576000
2,3,69,689900
4,3,105.5,599000
4,1,30.77,319000
3,1,40.74,529620
4,1,26.6,370000
2,2,41,805000
4,1,32.52,339000
4,2,50.71,569000
4,1,34.04,359000
3,2,40.74,529000
2,2,47,750000
4,1,32.16,335000
2,3,68.98,689800
2,2,68.98,689800
3,2,40.74,530000
1,2,37,279000
0,3,42,499000
2,2,43.3,519600
3,1,36.48,510720
3,2,52.85,720000
3,3,62.49,874860
0,3,67.56,1020000
1,3,78.97,930000
4,4,95.41,1121067
1,2,39.87,279000
1,2,39.87,279000
3,2,55.83,389000
2,2,48.67,325000
1,2,55.83,359000
1,2,28,249000
1,3,73.7,540000
2,3,91,1092000
0,2,51.55,549000
6,2,41,1190000
2,3,78.1,429000
0,2,43.56,499000
0,2,51.55,549000
3,1,74,849900
2,3,70,650000
3,2,65,593999
3,2,65,595000
1,2,46,599000
0,3,100,999999
2,3,62,639000
2,2,62,657000
7,3,73,845000
2,2,61.5,658000
2,2,61.5,639000
3,4,301,1990000
2,2,62,639000
1,3,91.1,844000
2,2,62,639000
1,3,91,895000
2,2,62,639000
3,1,23,380000
3,2,54.1,399000
2,3,52,460000
2,2,54,425000
1,2,52.5,432000
0,6,200,1650000
0,2,54.2,433000
3,2,54.1,399000
1,2,34.12,569000
2,4,200,5800000
1,3,73.6,540000
1,2,59.1,385000
3,3,53,985000
1,3,79,1100000
1,2,37.81,279000
0,3,50.5,986000
2,2,47.68,338465
2,3,68.98,689900
2,3,73,1129900
4,2,46,549000
0,3,68,1020000
5,2,33.36,380000
3,2,40.5,243000
2,4,74,1150000
0,2,35,387000
1,1,38.14,375586
2,2,41.6,369000
2,1,31.43,346000
1,1,41.48,499000
2,3,48.92,463000
2,1,26,399000
3,2,50.87,422221
2,2,56.5,789000
3,3,47.05,239000
3,2,36.9,315000
1,1,29.8,366000
2,3,68.98,689900
2,4,97,1190000
1,3,77,549000
4,2,75.9,439900
3,2,59.4,510840
1,2,46.82,649000
0,2,35,387000
2,3,59,469000
4,2,49.98,414834
2,3,120,1100000
5,4,90.59,1600000
3,2,51.02,699000
3,2,43.76,525120
1,3,46.11,442000
1,1,34.47,450000
0,2,44,320000
2,2,61,1403000
0,2,24.39,199999
4,4,107,1123500
1,5,93,1208070
3,2,29.07,497000
3,2,40.74,530000
3,2,51.02,699000
0,3,75,549000
2,1,32,386000
3,4,126,1474200
4,3,100,675000
1,2,42,630000
3,6,182,1750000
4,2,44.89,374800
0,2,31.5,255000
3,3,110,1230000
1,2,51.5,650000
0,3,96.96,1249000
5,3,93,990000
2,2,25.74,256139
0,2,39.95,555000
1,2,49.62,328040
1,2,46.82,649000
3,6,90,980000
4,2,40,450000
1,4,103,1300000
0,3,67.56,1020000
1,1,36.89,365000
2,4,104,1196000
1,3,80,930000
4,6,135.2,1590000
3,2,79.18,650000
5,3,93.61,990000
0,4,54,429000
4,2,40.44,345800
1,1,35,445000
3,3,68.98,985000
1,3,54.3,470000
1,3,68.98,689800
0,2,25.17,252807
1,3,75,1050000
3,5,136,1564000
2,1,18.3,299000
2,2,41.2,495000
5,3,93.61,990000
3,2,44,609000
0,2,40,498000
2,2,67,430000
5,3,93.61,990000
0,1,30,450000
2,2,44.95,445000
3,2,41.21,579000
2,2,68,1195000
2,3,68.98,689900
1,1,36.5,325000
3,3,44.5,570000
3,3,68,985000
1,2,55,598000
1,3,53.05,359000
0,2,35,387000
3,3,58.44,499000
1,1,42,460000
2,5,126,1100000
3,4,67.34,1520000
0,2,40,339000
2,2,61,620000
0,2,30.18,292746
